imo,name,ship_type,build_year,gross_tonnage,DWT
9341081,CARMA,Crude Oil Tanker,2006,57248,109908
9341093,KOLOMNA,Crude Oil Tanker,2006,57248,109716
9341512,MT ELCANO,Chemical/Oil Products Tanker,2006,25507,38877
9342786,SUNSEA,Chemical/Oil Products Tanker,2007,11534,20809
9344033,TRIUMPH,Oil Products Tanker,2007,27725,46564
9345623,ELYTE,Oil Products Tanker,2008,56362,105852
9346720,KIRA K,Crude Oil Tanker,2007,61473,115878
9346732,TK SCORPIO,Crude Oil Tanker,2007,61342,115940
9346744,MA JIN,Crude Oil Tanker,2007,61342,115915
9346873,ELODIE I,Crude Oil Tanker,2008,59611,110295
9348479,LUCKY FAIRY,Crude Oil Tanker,2006,61473,115838
9349095,JIAN HANG TAI DA,Chemical/Oil Products Tanker,2010,8525,11974
9349291,ANASTASIIA,General Cargo Ship,2006,9611,12731
9349655,SNARTH,Chemical/Oil Products Tanker,2007,12105,20896
9350288,NV SUNSHINE,LPG Tanker,2007,48456,54975
9350422,ASTRA,LPG Tanker,2007,47194,54368
9350654,RUBY CROSS,Crude Oil Tanker,2007,61315,110503
9352195,SANDHYA,Chemical/Oil Products Tanker,2007,23304,37159
9353096,GURU,Chemical/Oil Products Tanker,2008,23353,37297
9353113,JUN MA,Oil Products Tanker,2008,23353,37321
9353125,ADHARA,Chemical/Oil Products Tanker,2008,23353,37296
9353905,EASTERN HERO,Chemical/Oil Products Tanker,2007,8473,13148
9354301,JAGGER,Crude Oil Tanker,2008,60178,106820
9354313,ZALIV AMURSKIY,Crude Oil Tanker,2008,60178,104542
9354521,ANHONA,Oil Products Tanker,2008,28060,45994
9354636,FLURA,Chemical/Oil Products Tanker,2005,4549,6526
9356593,DREAM II,Crude Oil Tanker,2008,164241,319988
9357183,HUGE,Crude Oil Tanker,2008,163660,317367
9357353,SEVIN,Crude Oil Tanker,2008,85462,164154
9357365,SONIA1,Crude Oil Tanker,2008,85462,164154
9357377,SALINA,Crude Oil Tanker,2009,85462,164154
9357389,HILDA 1,Crude Oil Tanker,2008,163660,317367
9357391,HELM,Crude Oil Tanker,2008,163660,317356
9357406,AMBER,Crude Oil Tanker,2008,163660,317356
9357717,DORE,Crude Oil Tanker,2009,164241,319999
9357729,DAN,Crude Oil Tanker,2009,164241,319999
9360128,ZALIV BAIKAL,Crude Oil Tanker,2009,60344,106808
9360130,ZALIV VOSTOK,Crude Oil Tanker,2009,60344,106590
9360398,Y L W,Bitumen Tanker,2007,5530,6012
9360415,INDUS 1,Oil Products Tanker,2007,22535,39981
9362059,HERBY,Crude Oil Tanker,2008,163660,317356
9362061,HAWK,Crude Oil Tanker,2008,163660,317367
9362073,HERO2,Crude Oil Tanker,2007,163650,317355
9363182,RAMYA,Chemical/Oil Products Tanker,2006,6522,9971
9363833,GOBY,Chemical/Oil Products Tanker,2008,11623,19994
9364112,KARIZ,Crude Oil Tanker,2007,81295,158817
9364382,GAS WANAKA,LPG Tanker,2008,48425,54707
9365752,FLORA,Crude Oil Tanker,2008,163330,319994
9365764,AMEN,Crude Oil Tanker,2008,163330,319993
9365776,AZELIA,Crude Oil Tanker,2009,163330,319901
9368223,ACHILLES,Crude Oil Tanker,2008,62863,108953
9368235,NEVAH,Crude Oil Tanker,2008,62863,108936
9369617,NIZAMI GANJAVI,Chemical/Oil Products Tanker,2006,4549,6526
9370537,VALANO,LPG Tanker,2009,48502,54707
9371608,VANITY,Crude Oil Tanker,2008,156702,297395
9372547,VASILY DINKOV,Crude Oil Tanker,2008,49597,72722
9372559,KAPITAN GOTSKY,Crude Oil Tanker,2008,49597,72722
9372561,TIMOFEY GUZHENKO,Crude Oil Tanker,2009,49597,72722
9374868,ELEPHANT,Crude Oil Tanker,2007,62863,108943
9377042,ARMADA EXPLORER,Chemical/Oil Products Tanker,2006,4549,6526
9377779,MONARCH I,Crude Oil Tanker,2007,58418,105009
9378618,PIONER 1,Crude Oil Tanker,2008,59172,109996
9378620,DALVA,Crude Oil Tanker,2008,59172,109996
9378632,MALAK,Crude Oil Tanker,2009,59172,109996
9379052,NOVA,Chemical/Oil Products Tanker,2009,27987,41340
9379404,GAS DIOR,LPG Tanker,2008,42897,54048
9379698,LAFIT,Crude Oil Tanker,2009,156726,296481
9379703,CUMA,Crude Oil Tanker,2009,156726,296068
9380673,CENTURION,Crude Oil Tanker,2008,55909,105392
9381732,AUGA,Crude Oil Tanker,2008,62713,112521
9381744,ANTLIA,Crude Oil Tanker,2008,62687,112511
9382073,ANTARES I,Oil Products Tanker,2008,28049,45997
9382700,LADY URSULA,Crude Oil Tanker,2007,28799,48673
9382798,TRUST,Oil Products Tanker,2008,27725,46564
9383869,SARASWATI,Crude Oil Tanker,2008,58418,106850
9383950,EMINENT,Crude Oil Tanker,2009,59179,115098
9384069,LION I,Crude Oil Tanker,2009,58667,107023
9384095,RAGNAR,Chemical/Oil Products Tanker,2008,24112,38402
9384306,UNIVERSAL,Chemical/Oil Products Tanker,2009,29967,50923
9384435,JI LI I,Chemical/Oil Products Tanker,2008,19986,30720
9384447,JI SHUN,Chemical/Oil Products Tanker,2009,19986,30720
9384459,JI XIANG,Chemical/Oil Products Tanker,2010,19986,30720
9384992,MARS 6,Crude Oil Tanker,2007,57462,106045
9385142,ALMOND,Chemical/Oil Products Tanker,2009,29967,50923
9385233,BAYAZE D,Bulk Carrier,2009,11767,18908
9385831,LERUO,Oil Products Tanker,2010,28090,45951
9386299,GAS CONCEPT,LPG Tanker,2009,42897,54004
9386304,GAS LAGOON,LPG Tanker,2008,42897,54004
9386536,SPRING FORTUNE,Crude Oil Tanker,2009,62775,113021
