IMO,Name of ship,Gross tonnage,Type of ship,Vessel Size,Year of build,Controller,Flag,Class,Last Survey,Russian lifter,Iran Linked?,Re Classed in 2022,Transacted in 2022,Suspicious
9357561,HISTRIA AZURE,25938,Chemical/Oil Products Tanker,MR,2007,Histria Shipmanagement,Marshall Islands (MHL),NV,29/5/2017,, , ,,
9436666,HISTRIA PRINCE,25938,Chemical/Oil Products Tanker,MR,2008,Histria Shipmanagement,Marshall Islands (MHL),NV,12/10/2018,, , ,,
9607631,HISTRIA AMBRA,25949,Chemical/Oil Products Tanker,MR,2013,Histria Shipmanagement,Liberia (LBR),NV,17/7/2018,, , ,,
9414058,STOLT ISLAND,26234,Chemical/Oil Products Tanker,MR,2009,Stolt Tankers,Cayman Islands (CYM),NV,11/5/2019,, , ,,
9222376,HUA HAI 5,26262,Oil Products Tanker,MR,2001,COSCO SHIPPING ENERGY (CSET),China Peoples's Republic (CHN),CCS,2/9/2016,, , ,,
9270294,HUA HAI 6,26262,Oil Products Tanker,MR,2002,COSCO SHIPPING ENERGY (CSET),China Peoples's Republic (CHN),CCS,12/6/2017,, , ,,
9800817,ANTARES,26310,Chemical/Oil Products Tanker,MR,2022,Histria Shipmanagement,Luxembourg (LUX),BV,7/3/2022,, , ,,
9800790,HISTRIA ATLAS,26310,Chemical/Oil Products Tanker,MR,2019,Histria Shipmanagement,Liberia (LBR),RINA,23/4/2019,, , ,,
9800805,HISTRIA DIONE,26310,Chemical/Oil Products Tanker,MR,2020,Histria Shipmanagement,Liberia (LBR),RINA,2/9/2020,, , ,,
9359363,STOLT FACTO,26328,Chemical/Oil Products Tanker,MR,2010,Stolt Tankers,Cayman Islands (CYM),NV,28/8/2020,, , ,,
9359387,GULF MISHREF,26329,Chemical/Oil Products Tanker,MR,2010,R SHIPPING,Panama (PAN),BV,14/10/2017,, , ,,
9293117,LEOPARD I,81076,Crude Oil Tanker,Suezmax,2005,LEOPARD I SHIPPING INC,Liberia (LBR),ABS,15/11/2020,YES, , ,YES,YES
9326811,AEGEAN HORIZON,81084,Crude Oil Tanker,Suezmax,2007,Arcadia Shipmanagement,Greece (GRC),ABS,6/9/2017,, , ,,
9359375,STOLT SISTO,26329,Chemical/Oil Products Tanker,MR,2010,Stolt Tankers,Cayman Islands (CYM),NV,24/7/2020,, , ,,
9326809,DESH ABHIMAAN,81084,Crude Oil Tanker,Suezmax,2007,SCI,India (IND),ABS,11/10/2017,, , ,,
9359399,XING TONG 789,26329,Chemical/Oil Products Tanker,MR,2010,Xingtong Shipping,China Peoples's Republic (CHN),CCS,2/8/2020,, , ,,
9388302,BOW ELM,26351,Chemical/Oil Products Tanker,MR,2011,ODFJELL,Norway (NIS) (NIS),LRS,11/3/2016,, , ,,
