IMO,Name of ship,Gross tonnage,Type of ship,Vessel Size,Year of build,Controller,Flag,Class,Last Survey,Russian lifter,Iran Linked?,Re Classed in 2022,Transacted in 2022,Suspicious
9902847,FRONTIER MARINER,29649,Chemical/Oil Products Tanker,MR,2021,MARATHON,Marshall Islands (MHL),ABS,6/4/2021,, , ,,
9379703,YONG DING,156726,Crude Oil Tanker,VLCC,2009,VIRGO OCEAN SHIPPING INC,Panama (PAN),CCS,9/9/2019,,YES, ,,YES
9902859,LONE STAR MARINER,29649,Chemical/Oil Products Tanker,MR,2021,MARATHON,Marshall Islands (MHL),ABS,13/4/2021,, , ,,
9216717,LILU,156758,Crude Oil Tanker,VLCC,2000,UNKNOWN,Cameroon (CMR),NV,19/1/2016,, , ,,
9503237,SAMAIL,156841,Crude Oil Tanker,VLCC,2011,OMAN SHIPPING,Panama (PAN),ABS,1/10/2016,, , ,,
9735361,GEM NO. 1,156853,Crude Oil Tanker,VLCC,2016,Shell,Panama (PAN),ABS,29/6/2016,, , ,,
9735373,GEM NO. 2,156853,Crude Oil Tanker,VLCC,2017,Global Energy International,Panama (PAN),ABS,25/1/2017,, , ,,
9793741,GEM NO. 5,156853,Crude Oil Tanker,VLCC,2017,HYUNDAI,Panama (PAN),ABS,27/11/2017,, , ,,
9877808,MIDNIGHT GLORY,29649,Chemical/Oil Products Tanker,MR,2020,Exxonmobil,Marshall Islands (MHL),ABS,22/6/2020,, , ,,
9877793,MORNING GLORY,29649,Chemical/Oil Products Tanker,MR,2020,Exxonmobil,Marshall Islands (MHL),ABS,7/5/2020,, , ,,
9905423,PELICAN MARINER,29649,Chemical/Oil Products Tanker,MR,2021,MARATHON,Marshall Islands (MHL),ABS,23/6/2021,, , ,,
9788320,FRONT EARL,156866,Crude Oil Tanker,VLCC,2017,FRONTLINE,Marshall Islands (MHL),ABS,26/7/2017,, , ,,
9292228,CRYSTAL ROSE,156873,Crude Oil Tanker,VLCC,2004,DERECTTOR CO LTD,Panama (PAN),ABS,6/11/2019,, , ,YES,
9337157,KOKKARI,156902,Crude Oil Tanker,VLCC,2008,Alberta,Bahamas (BHS),ABS,15/3/2018,, , ,,
9902861,REDWOOD MARINER,29649,Chemical/Oil Products Tanker,MR,2021,MARATHON,Marshall Islands (MHL),ABS,11/5/2021,, , ,,
9877810,SUNRISE GLORY,29649,Chemical/Oil Products Tanker,MR,2020,Exxonmobil,Marshall Islands (MHL),ABS,17/8/2020,, , ,,
9882358,ESTEEM DISCOVERY,29651,Chemical/Oil Products Tanker,MR,2020,Exxonmobil,Panama (PAN),ABS,28/10/2020,, , ,,
9882360,ESTEEM ENDEAVOR,29651,Chemical/Oil Products Tanker,MR,2020,Exxonmobil,Panama (PAN),ABS,27/12/2020,, , ,,
9284946,AUSTRALIS,156914,Crude Oil Tanker,VLCC,2003,Petroineos,Malta (MLT),ABS,21/10/2018,, , ,,
9882346,ESTEEM ENERGY,29651,Chemical/Oil Products Tanker,MR,2020,Exxonmobil,Panama (PAN),ABS,29/7/2020,, , ,,
9882334,ESTEEM HOUSTON,29651,Chemical/Oil Products Tanker,MR,2020,Exxonmobil,Panama (PAN),ABS,4/6/2020,, , ,,
9903499,FLORA EXPRESS,29654,Chemical/Oil Products Tanker,MR,2021,Gunvor,Panama (PAN),NKK,27/4/2021,, , ,,
9322396,PIGEON POINT,29654,Chemical/Oil Products Tanker,MR,2005,PROMAN SHIPPING,Isle of Man (IMN),NKK,14/8/2020,, , ,,
9908982,RICH HARVEST,29654,Chemical/Oil Products Tanker,MR,2021,BP,Panama (PAN),NKK,30/6/2021,, , ,,
9322384,SAN FERNANDO,29654,Chemical/Oil Products Tanker,MR,2005,PROMAN SHIPPING,Isle of Man (IMN),NKK,14/3/2020,, , ,,
9245782,COSGLORY LAKE,156914,Crude Oil Tanker,VLCC,2003,COSCO SHIPPING ENERGY (CSET),Panama (PAN),ABS,20/4/2018,, , ,,
9862413,PRO ONYX,29655,Chemical/Oil Products Tanker,MR,2019,Maersk Tankers,Panama (PAN),KR,30/9/2019,, , ,,
9200835,SC ENTERPRISE LIX,159187,"FSO, Oil",FSO,2000,SOECHI GROUP,Indonesia (IDN),RINA,3/10/2019,, , ,,
9917658,CLEAROCEAN MILANO,29656,Chemical/Oil Products Tanker,MR,2021,Gunvor,Philippines (PHL),BV,28/10/2021,, , ,,
9387695,FALKANGER,29657,Chemical/Oil Products Tanker,MR,2009,WATERFRONT SHIPPING,Norway (NIS) (NIS),NV,27/9/2019,, , ,,
9294587,COSGRACE LAKE,156914,Crude Oil Tanker,VLCC,2006,COSCO SHIPPING ENERGY (CSET),Panama (PAN),ABS,11/5/2016,, , ,,
9387700,FAUSKANGER,29657,Chemical/Oil Products Tanker,MR,2009,WATERFRONT SHIPPING,Norway (NIS) (NIS),NV,29/8/2019,, , ,,
9709776,HAFNIA ANE,29658,Chemical/Oil Products Tanker,MR,2015,HAFNIA,Malta (MLT),NV,29/9/2020,, , ,,
9709788,HAFNIA DAISY,29658,Chemical/Oil Products Tanker,MR,2016,Valero,Malta (MLT),NV,9/8/2016,, , ,,
9726607,HAFNIA HENRIETTE,29658,Chemical/Oil Products Tanker,MR,2016,HAFNIA,Malta (MLT),NV,28/6/2016,, , ,,
9732682,HAFNIA KIRSTEN,29658,Chemical/Oil Products Tanker,MR,2017,HAFNIA,Malta (MLT),NV,4/1/2017,, , ,,
9726619,HAFNIA LENE,29658,Chemical/Oil Products Tanker,MR,2015,Aramco Trading (ATC),Malta (MLT),NV,16/9/2020,, , ,,
9294575,COSGRAND LAKE,156914,Crude Oil Tanker,VLCC,2006,COSCO SHIPPING ENERGY (CSET),Panama (PAN),ABS,29/12/2020,, , ,,
9726621,HAFNIA LISE,29658,Chemical/Oil Products Tanker,MR,2016,Valero,Malta (MLT),NV,9/9/2016,, , ,,
9398072,ACHILLEAS,156915,Crude Oil Tanker,VLCC,2010,CAPITAL SHIP MANAGEMENT CORP,Liberia (LBR),ABS,29/9/2020,, , ,,
9732694,HAFNIA LOTTE,29658,Chemical/Oil Products Tanker,MR,2017,Total,Malta (MLT),NV,9/1/2017,, , ,,
9732709,HAFNIA MIKALA,29658,Chemical/Oil Products Tanker,MR,2017,HAFNIA,Malta (MLT),NV,18/5/2017,, , ,,
9405564,FOURNI,29663,Chemical/Oil Products Tanker,MR,2010,ELETSON,Greece (GRC),LRS,5/8/2020,, , ,,
9405552,KASTOS,29663,Chemical/Oil Products Tanker,MR,2010,ELETSON,Greece (GRC),LRS,15/9/2020,, , ,,
9405540,KIMOLOS,29663,Chemical/Oil Products Tanker,MR,2010,ELETSON,Greece (GRC),LRS,13/5/2020,, , ,,
9405538,KINAROS,29663,Chemical/Oil Products Tanker,MR,2009,ELETSON,Greece (GRC),LRS,24/9/2019,, , ,,
9278624,GOLDEN PETREL,29665,Chemical/Oil Products Tanker,MR,2004,WATERFRONT SHIPPING,Panama (PAN),ABS,25/1/2019,, , ,,
9667473,STENA IMAGE,29666,Chemical/Oil Products Tanker,MR,2015,Golden Stena Bulk,Denmark (DIS) (DIS),LRS,17/7/2020,, , ,,
9667497,STENA IMPORTANT,29666,Chemical/Oil Products Tanker,MR,2015,STENA,Denmark (DIS) (DIS),LRS,28/11/2020,, , ,,
9666089,STENA IMPULSE,29666,Chemical/Oil Products Tanker,MR,2016,Golden Stena Bulk,Bermuda (BMU),LRS,23/3/2016,, , ,,
9789257,ATLANTIC FALCON,29667,Chemical/Oil Products Tanker,MR,2018,NYK,Marshall Islands (MHL),KR,31/10/2018,, , ,,
9789269,ATLANTIC GUARD,29667,Chemical/Oil Products Tanker,MR,2019,Gunvor,Marshall Islands (MHL),KR,1/4/2019,, , ,,
9917646,CLEAROCEAN MERIBEL,29667,Chemical/Oil Products Tanker,MR,2021,Gunvor,Philippines (PHL),BV,27/9/2021,, , ,,
9893163,ZANDOLIE,29668,Chemical/Oil Products Tanker,MR,2021,STENA,Panama (PAN),NKK,25/2/2021,, , ,,
9447768,MAERSK MALAGA,29669,Chemical/Oil Products Tanker,MR,2012,Maersk Tankers,Singapore (SGP),ABS,23/9/2017,, , ,,
9721906,MARLIN AQUAMARINE,29669,Chemical/Oil Products Tanker,MR,2016,Trafigura,Marshall Islands (MHL),NV,2/6/2016,, , ,,
9377418,ALEXANDER THE GREAT,156915,Crude Oil Tanker,VLCC,2010,HEIDMAR,Liberia (LBR),ABS,12/7/2020,, , ,,
9337183,COSJADE LAKE,156915,Crude Oil Tanker,VLCC,2009,COSCO SHIPPING ENERGY (CSET),"Hong Kong, China (HKG)",ABS,14/11/2018,, , ,,
9721918,MARLIN AVENTURINE,29669,Chemical/Oil Products Tanker,MR,2016,Trafigura,Marshall Islands (MHL),NV,2/2/2016,, , ,,
9721920,MARLIN AZURITE,29669,Chemical/Oil Products Tanker,MR,2016,Trafigura,Marshall Islands (MHL),NV,22/4/2016,, , ,,
9835056,ENDEAVOUR II,29671,Chemical/Oil Products Tanker,MR,2020,Trafigura,Singapore (SGP),NV,24/2/2020,, , ,,
9895197,ENDURANCE IV,29671,Chemical/Oil Products Tanker,MR,2020,TRANSPETROL,Singapore (SGP),NV,7/10/2020,, , ,,
9337171,COSPEARL LAKE,156915,Crude Oil Tanker,VLCC,2008,COSCO SHIPPING ENERGY (CSET),"Hong Kong, China (HKG)",CCS,4/11/2017,, , ,,
9248497,BOREAS,156916,Crude Oil Tanker,VLCC,2002,SHIP MANAGEMENT SERVICES LTD,Panama (PAN),ABS,3/7/2017,,YES, ,,YES
9398060,NEW PARADISE,156921,Crude Oil Tanker,VLCC,2010,CHINA MERCHANTS,Liberia (LBR),ABS,8/4/2020,, , ,,
9398058,NEW PROSPECT,156921,Crude Oil Tanker,VLCC,2009,SK,Liberia (LBR),ABS,28/3/2019,, , ,,
9375238,SAHAM,156923,Crude Oil Tanker,VLCC,2010,OMAN SHIPPING,Panama (PAN),ABS,25/12/2020,, , ,,
9939058,GOLDEN VOYAGER,29671,Chemical/Oil Products Tanker,MR,2022,Chevron,Panama (PAN),NKK,26/9/2022,, , ,,
9910337,NORD VENTURA,29671,Chemical/Oil Products Tanker,MR,2021,NORDEN,Panama (PAN),NKK,25/8/2021,, , ,,
9903138,NORD VICTORIOUS,29671,Chemical/Oil Products Tanker,MR,2021,NORDEN,Marshall Islands (MHL),NKK,17/6/2021,, , ,,
9284960,OCEAN LILY,156930,Crude Oil Tanker,VLCC,2004,SINOCHEM,"Hong Kong, China (HKG)",NV,15/10/2018,, , ,,
9326067,SYFNOS,156933,Crude Oil Tanker,VLCC,2006,TEODOR SHIPPING,Liberia (LBR),ABS,3/4/2021,, , ,YES,
9899985,NORD VISION,29671,Chemical/Oil Products Tanker,MR,2021,NORDEN,Marshall Islands (MHL),NKK,12/3/2021,, , ,,
9326055,VERONICA,156933,Crude Oil Tanker,VLCC,2006,SHANGHAI FUTURE SHIP MANAGEMENT,Liberia (LBR),BV,7/1/2021,, , ,,YES
9406166,SAIQ,156935,Crude Oil Tanker,VLCC,2011,OMAN SHIPPING,Panama (PAN),LRS,13/4/2016,, , ,,
9273337,TIFANI,156967,Crude Oil Tanker,VLCC,2003,WORLD CREW PROVIDER NV,Not Known,ABS,10/4/2018,,YES, ,,YES
9553749,OCEAN NISA,29671,Chemical/Oil Products Tanker,MR,2022,Exxonmobil,Marshall Islands (MHL),NKK,17/5/2022,, , ,,
9849253,RESOLVE II,29671,Chemical/Oil Products Tanker,MR,2019,Exxonmobil,Singapore (SGP),NV,11/10/2019,, , ,,
9288083,AWIN,156973,Crude Oil Tanker,VLCC,2004,CHINA MERCHANTS,Panama (PAN),ABS,19/5/2019,, , ,,
9895202,VENTURE III,29671,Chemical/Oil Products Tanker,MR,2021,BP,Singapore (SGP),NV,11/1/2021,, , ,,
9288095,WEN YAO,156973,Crude Oil Tanker,VLCC,2005,SAIZEE SHIPPING LTD,Panama (PAN),ABS,19/10/2020,,YES, ,YES,YES
9406178,FPMC C MELODY,156975,Crude Oil Tanker,VLCC,2011,NAVIG8,Liberia (LBR),BV,12/11/2016,, , ,,
9942330,WECO MALOU,29671,Chemical/Oil Products Tanker,MR,2022,WECO,Liberia (LBR),NKK,28/11/2022,, , ,,
9923932,WECO PISCES,29671,Chemical/Oil Products Tanker,MR,2022,WECO,Singapore (SGP),NKK,10/3/2022,, , ,,
9419955,FPMC C NOBLE,156975,Crude Oil Tanker,VLCC,2012,Formosa,Liberia (LBR),BV,28/3/2017,, , ,,
9528134,DALMACIJA,29678,Chemical/Oil Products Tanker,MR,2015,WECO,Malta (MLT),BV,8/9/2020,, , ,,
9457531,FPMC C ORIENT,156975,Crude Oil Tanker,VLCC,2012,Formosa,Liberia (LBR),BV,4/5/2017,, , ,,
9447744,NH ERLE,29680,Chemical/Oil Products Tanker,MR,2010,NORDEN,Norway (NIS) (NIS),NV,19/12/2020,, , ,,
9447756,NH SIRI,29680,Chemical/Oil Products Tanker,MR,2010,NORDEN,Norway (NIS) (NIS),NV,15/12/2015,, , ,,
9838216,NORD VANGUARD,29680,Chemical/Oil Products Tanker,MR,2020,NORDEN,Marshall Islands (MHL),ABS,6/1/2020,, , ,,
9337195,FPMC C HONOR,156987,Crude Oil Tanker,VLCC,2008,Formosa,Liberia (LBR),ABS,9/9/2018,, , ,YES,
9400681,FRONT CECILIE,156988,Crude Oil Tanker,VLCC,2010,FRONTLINE,Marshall Islands (MHL),NV,20/8/2020,, , ,,
9457543,HOJO,156990,Crude Oil Tanker,VLCC,2013,Tankers International pool,Belgium (BEL),NV,2/5/2018,, , ,,
9685463,STENA IMAGINATION,29680,Chemical/Oil Products Tanker,MR,2016,WECO,United Kingdom (GBR),LRS,15/6/2016,, , ,,
9685475,STENA IMMORTAL,29680,Chemical/Oil Products Tanker,MR,2016,Golden Stena Bulk,United Kingdom (GBR),LRS,14/9/2016,, , ,,
9693020,STENA IMPECCABLE,29680,Chemical/Oil Products Tanker,MR,2017,Golden Stena Bulk,Bermuda (BMU),LRS,8/3/2017,, , ,,
9666077,STENA IMPERATIVE,29680,Chemical/Oil Products Tanker,MR,2016,STENA,Bermuda (BMU),LRS,29/11/2020,, , ,,
9667485,STENA IMPERIAL,29680,Chemical/Oil Products Tanker,MR,2015,STENA,Malta (MLT),LRS,28/10/2020,, , ,,
9667461,STENA IMPRESSION,29680,Chemical/Oil Products Tanker,MR,2015,Golden Stena Bulk,United Kingdom (GBR),LRS,27/12/2019,, , ,,
9410997,FRONT SIGNE,156991,Crude Oil Tanker,VLCC,2010,FRONTLINE,Marshall Islands (MHL),NV,30/8/2020,, , ,,
9810214,WISBY ATLANTIC,29681,Chemical/Oil Products Tanker,MR,2017,Golden Stena Bulk,Sweden (SWE),LRS,27/12/2017,, , ,,
9810226,WISBY PACIFIC,29681,Chemical/Oil Products Tanker,MR,2017,Golden Stena Bulk,Sweden (SWE),LRS,27/12/2017,, , ,,
9857212,YASA ALBATROSS,29681,Chemical/Oil Products Tanker,MR,2019,Golden Stena Bulk,Marshall Islands (MHL),LRS,17/6/2019,, , ,,
9857236,YASA FLAMINGO,29681,Chemical/Oil Products Tanker,MR,2019,Equinor,Marshall Islands (MHL),LRS,8/7/2019,, , ,,
9233650,RIQUEZA,157003,Crude Oil Tanker,VLCC,2002,GS Caltex,Panama (PAN),ABS,8/11/2017,, , ,YES,
9888340,YASA ORION,29681,Chemical/Oil Products Tanker,MR,2021,UNKNOWN,Marshall Islands (MHL),LRS,21/4/2021,, , ,,
9515931,NAVE UNIVERSE,157036,Crude Oil Tanker,VLCC,2011,NAVIOS MARITIME,Liberia (LBR),CCS,26/8/2016,, , ,,
9857224,YASA PELICAN,29681,Chemical/Oil Products Tanker,MR,2019,KOCH,Marshall Islands (MHL),LRS,20/6/2019,, , ,,
9857248,YASA SWAN,29681,Chemical/Oil Products Tanker,MR,2019,Equinor,Marshall Islands (MHL),LRS,16/7/2019,, , ,,
9888352,YASA VEGA,29681,Chemical/Oil Products Tanker,MR,2021,UNKNOWN,Marshall Islands (MHL),LRS,21/4/2021,, , ,,
9326500,AEGEA,29683,Chemical/Oil Products Tanker,MR,2008,GLENCORE,Malta (MLT),ABS,28/4/2018,, , ,,
9522180,DS VENTURE,157039,Crude Oil Tanker,VLCC,2011,CHINA SHIPPING DEV HK WYTEX,Liberia (LBR),NV,24/1/2017,, , ,,
9522178,DS VISION,157039,Crude Oil Tanker,VLCC,2011,CHINA SHIPPING DEV HK WYTEX,Liberia (LBR),NV,7/3/2016,, , ,,
9515929,NAVE CONSTELLATION,157039,Crude Oil Tanker,VLCC,2010,NAVIOS MARITIME,Liberia (LBR),CCS,31/8/2020,, , ,,
9326512,AKTEA,29683,Chemical/Oil Products Tanker,MR,2009,GLENCORE,Malta (MLT),ABS,30/5/2019,, , ,,
9301902,GRACE LUCRUM,29683,Chemical/Oil Products Tanker,MR,2006,Petrobras,Liberia (LBR),BV,11/7/2016,YES, , ,,
9434620,NEW RESOURCE,157039,Crude Oil Tanker,VLCC,2010,ASSOCIATED MARITIME CO HK LTD,Liberia (LBR),CCS,5/1/2020,, , ,,
9447732,MAERSK MAGELLAN,29683,Chemical/Oil Products Tanker,MR,2010,Maersk Tankers,Singapore (SGP),ABS,25/9/2020,, , ,,
9796901,FOREVER GLORY,29684,Chemical/Oil Products Tanker,MR,2017,Nanjing Tanker,"Hong Kong, China (HKG)",CCS,30/11/2017,, , ,,
9796925,FOREVER HARMONY,29684,Chemical/Oil Products Tanker,MR,2018,Nanjing Tanker,Singapore (SGP),CCS,15/3/2018,, , ,,
9434632,NEW SUCCESS,157039,Crude Oil Tanker,VLCC,2010,CHINA MERCHANTS,Liberia (LBR),CCS,31/8/2020,, , ,,
9445631,NEW VANGUARD,157039,Crude Oil Tanker,VLCC,2011,CHINA MERCHANTS,Liberia (LBR),CCS,11/5/2016,, , ,,
9796937,FOREVER PROSPERITY,29684,Chemical/Oil Products Tanker,MR,2018,AMPOL,"Hong Kong, China (HKG)",CCS,26/6/2018,, , ,,
9458614,NEW VISTA,157039,Crude Oil Tanker,VLCC,2011,CHINA MERCHANTS,Liberia (LBR),CCS,30/5/2016,, , ,,
9486532,NEW PIONEER,157052,Crude Oil Tanker,VLCC,2010,ASSOCIATED MARITIME CO HK LTD,"Hong Kong, China (HKG)",NV,24/11/2020,, , ,,
9486544,NEW ASPIRE,157053,Crude Oil Tanker,VLCC,2011,Equinor,"Hong Kong, China (HKG)",NV,11/1/2021,, , ,,
9723095,DESIRADE,157092,Crude Oil Tanker,VLCC,2016,Tankers International pool,Liberia (LBR),NV,5/1/2021,, , ,,
9723071,DIA,157092,Crude Oil Tanker,VLCC,2015,Tankers International pool,France (RIF) (FIS),NV,3/11/2020,, , ,,
9796913,FOREVER SPLENDOR,29684,Chemical/Oil Products Tanker,MR,2018,AMPOL,"Hong Kong, China (HKG)",CCS,27/4/2018,, , ,,
9788576,BLUE BUTTERFLY,29694,Chemical/Oil Products Tanker,MR,2019,Chevron,Panama (PAN),NKK,13/11/2019,, , ,,
9723069,DOMINICA,157092,Crude Oil Tanker,VLCC,2015,Tankers International pool,Liberia (LBR),NV,5/12/2020,, , ,,
9820312,CLAVEL,29698,Chemical/Oil Products Tanker,MR,2018,Iran Shipping Lines,Iran (IRN),PRS,18/10/2018,, , ,,YES
9723083,DONOUSSA,157092,Crude Oil Tanker,VLCC,2016,Tankers International pool,France (RIF) (FIS),NV,2/2/2021,, , ,,
9820324,DALIA,29698,Chemical/Oil Products Tanker,MR,2018,Iran Shipping Lines,Iran (IRN),PRS,29/10/2018,, , ,,YES
9723100,DRENEC,157092,Crude Oil Tanker,VLCC,2016,Tankers International pool,Liberia (LBR),NV,24/2/2016,, , ,,
9820336,PETUNIA,29698,Chemical/Oil Products Tanker,MR,2018,Iran Shipping Lines,Iran (IRN),BV,31/10/2018,, , ,,YES
9899480,CS HU BEI,29700,Chemical/Oil Products Tanker,MR,2022,Trafigura,"Hong Kong, China (HKG)",LRS,23/5/2022,, , ,,
9899478,CS ZHE JIANG,29700,Chemical/Oil Products Tanker,MR,2022,Trafigura,"Hong Kong, China (HKG)",LRS,6/4/2022,, , ,,
9888493,PERTAMINA PRIDE,157116,Crude Oil Tanker,VLCC,2021,UNKNOWN,Singapore (SGP),ABS,8/2/2021,, , ,,
9888508,PERTAMINA PRIME,157116,Crude Oil Tanker,VLCC,2021,Trafigura,Singapore (SGP),ABS,29/3/2021,, , ,,
9689158,PIS PRECIOUS,29700,Chemical/Oil Products Tanker,MR,2013,Vitol,Singapore (SGP),NKK,23/10/2018,, , ,,
9788899,FRONT PRINCE,157142,Crude Oil Tanker,VLCC,2017,FRONTLINE,Marshall Islands (MHL),BV,12/9/2017,, , ,,
9689160,ZUMBA,29700,Chemical/Oil Products Tanker,MR,2014,Spring Marine,Marshall Islands (MHL),NKK,14/1/2019,YES, , ,,
9447770,CEDAR EXPRESS,29703,Chemical/Oil Products Tanker,MR,2013,SCORPIO TANKERS,Marshall Islands (MHL),ABS,4/1/2018,, , ,,
9692246,TRF BERGEN,29704,Chemical/Oil Products Tanker,MR,2015,HAFNIA,Marshall Islands (MHL),NV,15/2/2020,, , ,,
9788904,FRONT PRINCESS,157142,Crude Oil Tanker,VLCC,2018,FRONTLINE,Marshall Islands (MHL),BV,10/1/2018,, , ,,
9874210,APHRODITE,157208,Crude Oil Tanker,VLCC,2020,BP,Greece (GRC),ABS,14/6/2020,, , ,,
9655975,CLEAROCEAN MARIA,29705,Chemical/Oil Products Tanker,MR,2014,Gunvor,Liberia (LBR),LRS,5/9/2019,, , ,,
9534846,BLUE NOVA,157225,Crude Oil Tanker,VLCC,2011,HESS,Liberia (LBR),BV,2/8/2016,, , ,,
9534858,TRIKWONG VENTURE,157225,Crude Oil Tanker,VLCC,2012,NAVIG8,"Hong Kong, China (HKG)",BV,13/11/2016,, , ,,
9337133,IVY,157245,Crude Oil Tanker,VLCC,2007,SAO VIET PETROL TRANSPORTATION,Vietnam (VNM),BV,2/5/2017,,YES, ,,YES
9302968,PNS SERENA,157245,Crude Oil Tanker,VLCC,2006,AET,Indonesia (IDN),BV,29/8/2016,, , ,,
9788887,GULF SUNRISE,157302,Crude Oil Tanker,VLCC,2017,MARATHON,Panama (PAN),BV,7/7/2017,, , ,,
9395305,DESIMI,157316,Crude Oil Tanker,VLCC,2011,CARDIFF MARINE,Malta (MLT),ABS,8/9/2016,, , ,,
9655987,CLEAROCEAN MARY,29705,Chemical/Oil Products Tanker,MR,2014,Gunvor,Liberia (LBR),LRS,1/9/2019,, , ,,
9708772,PYXIS LAMDA,29705,Chemical/Oil Products Tanker,MR,2017,Trafigura,Malta (MLT),NV,12/1/2017,, , ,,
9395317,SOLANA,157316,Crude Oil Tanker,VLCC,2010,CARDIFF MARINE,Malta (MLT),ABS,18/2/2020,, , ,,
9740342,TRF HORTEN,157316,Crude Oil Tanker,VLCC,2018,Trafigura,Marshall Islands (MHL),NV,9/10/2018,, , ,,
9610250,KONDOR,157325,Crude Oil Tanker,VLCC,2012,Tankers International pool,Marshall Islands (MHL),ABS,5/11/2021,, , ,,
9604079,MAXIM,157351,Crude Oil Tanker,VLCC,2011,Tankers International pool,Marshall Islands (MHL),BV,10/6/2016,, , ,,
9762986,DHT HARRIER,157373,Crude Oil Tanker,VLCC,2016,Trafigura,"Hong Kong, China (HKG)",LRS,13/9/2016,, , ,,
9906685,GRAND WINNER 1,29707,Chemical/Oil Products Tanker,MR,2021,PAN OCEAN,Panama (PAN),KR,8/7/2021,, , ,,
9734111,DHT OSPREY,157373,Crude Oil Tanker,VLCC,2016,DHT Holdings,"Hong Kong, China (HKG)",LRS,3/8/2016,, , ,,
9906697,GRAND WINNER 2,29707,Chemical/Oil Products Tanker,MR,2021,PAN OCEAN,Panama (PAN),KR,12/7/2021,, , ,,
9762998,ECO SEAS,157373,Crude Oil Tanker,VLCC,2016,Equinor,Norway (NIS) (NIS),NV,12/10/2016,, , ,,
9734109,PHOENIX VANTAGE,157373,Crude Oil Tanker,VLCC,2016,Equinor,Singapore (SGP),NKK,6/10/2022,, , ,,
9788875,CARIBBEAN GLORY,157379,Crude Oil Tanker,VLCC,2017,Exxonmobil,Panama (PAN),BV,12/5/2017,, , ,,
9575096,HARBOUR SPLENDOR,157393,Crude Oil Tanker,VLCC,2010,HARBOUR SPLENDOR CO LTD,"Hong Kong, China (HKG)",NV,17/9/2020,, , ,,
9575101,SEA SPLENDOR,157394,Crude Oil Tanker,VLCC,2012,SINOCHEM,"Hong Kong, China (HKG)",NV,13/3/2017,, , ,,
9906702,GRAND WINNER 3,29707,Chemical/Oil Products Tanker,MR,2021,Maersk Tankers,Panama (PAN),KR,10/11/2021,, , ,,
9906714,GRAND WINNER 5,29707,Chemical/Oil Products Tanker,MR,2021,PAN OCEAN,Panama (PAN),KR,6/12/2021,, , ,,
9788564,HAKATA PRINCESS,29707,Chemical/Oil Products Tanker,MR,2018,Chevron,Panama (PAN),NKK,29/10/2018,, , ,,
9733806,APOLLONAS,157477,Crude Oil Tanker,VLCC,2016,HEIDMAR,Marshall Islands (MHL),LRS,5/1/2016,, , ,,
9733818,ATROMITOS,157477,Crude Oil Tanker,VLCC,2016,HEIDMAR,Marshall Islands (MHL),ABS,3/4/2021,, , ,,
9944132,NORD VIRAGE,29707,Chemical/Oil Products Tanker,MR,2022,World Tankers Management,Panama (PAN),ABS,7/12/2022,, , ,,
9292163,MONICA S,157537,Crude Oil Tanker,VLCC,2004,DERECTTOR CO LTD,Panama (PAN),ABS,4/10/2019,YES, , ,YES,YES
9395290,MERCURY HOPE,157589,Crude Oil Tanker,VLCC,2011,Tankers International pool,Panama (PAN),ABS,23/5/2021,, , ,,
9655913,BRIO,29708,Chemical/Oil Products Tanker,MR,2013,NSC Holding,Chile (CHL),NV,19/3/2018,, , ,,
9862944,OVERSEAS SUN COAST,29708,Chemical/Oil Products Tanker,MR,2019,UNKNOWN,Marshall Islands (MHL),ABS,29/9/2019,, , ,,
9395496,MERMAID HOPE,157589,Crude Oil Tanker,VLCC,2011,Gunvor,Panama (PAN),ABS,29/9/2021,, , ,,
9862932,PACIFIC SENTINEL,29708,Chemical/Oil Products Tanker,MR,2019,HAFNIA,Liberia (LBR),ABS,29/9/2019,, , ,,
9650573,PIONEROS,29708,Chemical/Oil Products Tanker,MR,2013,NSC Holding,Chile (CHL),NV,15/1/2018,, , ,,
9327554,BUNGA KASTURI ENAM,157808,Crude Oil Tanker,VLCC,2008,Tankers International pool,Malaysia (MYS),ABS,3/4/2018,, , ,,
9327114,BUNGA KASTURI LIMA,157808,Crude Oil Tanker,VLCC,2007,Tankers International pool,Malaysia (MYS),ABS,4/7/2022,, , ,,
9181649,INHERIT,157814,Crude Oil Tanker,VLCC,2000,UNKNOWN,Panama (PAN),KR,4/9/2020,, , ,,
9221918,KITAKAZE,157814,Crude Oil Tanker,VLCC,2001,MERCANTILE & MARITIME,Djibouti (DJI),LRS,23/1/2016,, , ,,
9227948,MIRAME,157814,Crude Oil Tanker,VLCC,2001,MERCANTILE & MARITIME,Djibouti (DJI),LRS,11/5/2016,, , ,,
9658379,STI BERYL,29708,Chemical/Oil Products Tanker,MR,2013,SCORPIO TANKERS,Marshall Islands (MHL),ABS,26/5/2018,, , ,,
9179701,NOLAN,157814,Crude Oil Tanker,VLCC,2000,Smart Tankers,Panama (PAN),NKK,31/1/2018,,YES, ,,YES
9203253,ANITA,157831,Crude Oil Tanker,VLCC,2000,OILPIER SHIPPING LTD,Not Known,BV,16/10/2018,,YES, ,,YES
9629940,STI RUBY,29708,Chemical/Oil Products Tanker,MR,2012,SCORPIO TANKERS,Marshall Islands (MHL),ABS,11/9/2017,, , ,,
9301914,TORM LOKE,29708,Chemical/Oil Products Tanker,MR,2007,Torm,Singapore (SGP),NV,18/6/2017,, , ,,
